section,reseau,type_verre,priorite,nom_verre,matiere,traitement,prix,photochromique_possible,supplement_photochromique,reference_affichee,prix_versailles,prix_lvdb,prix_autres
reseaux,santeclair,unifocaux,1,Eyezen,Orma,CZ Rock,,non,,Eyezen Start Fit Orma EPS Cz Rock,,,
reseaux,santeclair,unifocaux,1,Eyezen,Orma,CZ Prev,,non,,Eyezen Start Fit Orma EPS Cz A Prev,,,
reseaux,santeclair,unifocaux,1,Eyezen,Ormix,CZ Rock,"102,96",non,,Eyezen Start Fit Ormix EPS Cz Rock,"102,96","102,96","102,96"
reseaux,santeclair,unifocaux,1,Eyezen,Ormix,CZ Prev,"105,6",non,,Eyezen Start Fit Ormix EPS Cz A Prev,"105,6","105,6","105,6"
reseaux,santeclair,unifocaux,2,Eyezen,Ormix,CZ Sapph,"89,76",non,,Eyezen Start Ormix Stock BUC Cz Sapph,"89,76","89,76","89,76"
reseaux,santeclair,unifocaux,3,Unifocal Generique,Orma,CZ Rock,,non,,Orma BUC Cz Rock,,,
reseaux,santeclair,unifocaux,3,Unifocal Generique,Orma,CZ Prev,,non,,Orma BUC Cz A Prev,,,
reseaux,santeclair,unifocaux,3,Unifocal Generique,Ormix,CZ Rock,"79,2",non,,Ormix BUC Cz Rock,"79,2","79,2","79,2"
reseaux,santeclair,unifocaux,3,Unifocal Generique,Ormix,CZ Prev,,non,,Ormix BUC Cz A Prev,,,
reseaux,santeclair,unifocaux,4,Stellest,Airwear,CZ Rock,"147,84",non,,Stellest Airwear Cz Rock,"147,84","147,84","147,84"
reseaux,seveane,progressifs,1,Varilux S 2,Orma,CZ Sapph,238,oui,19,Varilux S2 Orma EPS Cz Sapph,,,
reseaux,seveane,progressifs,1,Varilux S 2,Orma,CZ Prev,238,oui,19,Varilux S2 Orma EPS Cz F Prev,,,
reseaux,seveane,progressifs,1,Varilux S 2,Ormix,CZ Sapph,238,oui,19,Varilux S2 Ormix EPS Cz Sapph,,,
reseaux,seveane,progressifs,1,Varilux S 2,Ormix,CZ Prev,238,oui,19,Varilux S2 Ormix EPS Cz F Prev,,,
reseaux,seveane,progressifs,2,Varilux Cft Max,Orma,CZ Sapph,196,oui,19,Varilux Cft Max Fit Orma EPS Cz Sapph,,,
reseaux,seveane,progressifs,2,Varilux Cft Max,Orma,CZ Prev,196,oui,19,Varilux Cft Max Fit Orma EPS Cz F Prev,,,
